Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0805,3,0.1uF,
C4,0805,1,10uF,
"C5, C6",0805,2,22pF,
C7,0402,1,1uF,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,16,D_Small,
F1,1206,1,500mA,
"H1, H2, H3, H4",MountingHole_2.2mm_M2_Pad,4,MountingHole_Pad,
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0,
"MX1, MX10, MX11, MX12, MX13_2, MX14, MX16, MX3, MX4, MX5, MX6_2, MX7, MX8",MXOnly-1U-NoLED,13,MX-NoLED,
"MX13, MX6, MX9_2",MXOnly-2U-ReversedStabilizers-NoLED,3,MX-NoLED,
MX15,MXOnly-1.75U-NoLED,1,MX-NoLED,
MX2,MXOnly-1.25U-NoLED,1,MX-NoLED,
"R1, R9",0805,2,10k,
"R2, R3",0805,2,5.1k,
"R5, R6",0805,2,22,
SW1,SKQG-1155865,1,SW_Push,
U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,1,ATmega32U4-MU,
U2,SOT-23-6,1,USBLC6-2SC6,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16 MHz,
