Designator,Mid X,Mid Y,Rotation,Layer
C1,108.74375,-138.1125,180.0,bottom
C2,118.4125,-148.43125,180.0,bottom
C3,105.56875,-146.84375,270.0,bottom
C4,115.09375,-137.31875,0.0,bottom
C5,111.91875,-151.60625,270.0,bottom
C6,118.26875,-151.60625,270.0,bottom
C7,117.475,-143.271875,90.0,bottom
D10,86.51875,-147.6375,90.0,bottom
D11,93.6625,-163.5125,90.0,bottom
D12,100.80625,-128.5875,90.0,bottom
D13,89.69375,-147.6375,90.0,bottom
D14,119.85625,-128.5875,90.0,bottom
D15,119.85625,-166.6875,90.0,bottom
D16,123.03125,-128.5875,90.0,bottom
D17,131.7625,-147.6375,90.0,bottom
D18,123.03125,-166.6875,90.0,bottom
D3,43.65625,-128.5875,90.0,bottom
D4,46.0375,-147.6375,90.0,bottom
D5,43.65625,-166.6875,90.0,bottom
D6,62.70625,-128.5875,90.0,bottom
D7,67.46875,-147.6375,90.0,bottom
D8,67.46875,-166.6875,90.0,bottom
D9,65.88125,-128.5875,90.0,bottom
F1,73.025,-131.7625,90.0,bottom
J1,83.34375,-118.665625,180.0,bottom
MX1,35.71875,-126.20625,0.0,top
MX10,92.86875,-126.20625,0.0,top
MX11,97.63125,-145.25625,0.0,top
MX12,111.91875,-126.20625,0.0,top
MX13_2,111.91875,-164.30625,0.0,top
MX13,102.39375,-164.30625,0.0,top
MX14,130.96875,-126.20625,0.0,top
MX15,123.825,-145.25625,0.0,top
MX16,130.96875,-164.30625,0.0,top
MX2,38.1,-145.25625,0.0,top
MX3,35.71875,-164.30625,0.0,top
MX4,54.76875,-126.20625,0.0,top
MX5,59.53125,-145.25625,0.0,top
MX6_2,54.76875,-164.30625,0.0,top
MX6,64.29375,-164.30625,0.0,top
MX7,73.81875,-126.20625,0.0,top
MX8,78.58125,-145.25625,0.0,top
MX9_2,83.34375,-164.30625,0.0,top
R1,115.8875,-133.35,90.0,bottom
R2,90.4875,-119.85625,270.0,bottom
R3,76.99375,-130.175,90.0,bottom
R5,87.3125,-128.5875,0.0,bottom
R6,86.51875,-132.55625,0.0,bottom
R9,105.56875,-139.7,270.0,bottom
SW1,121.44375,-135.73125,270.0,bottom
U1,111.91875,-143.66875,0.0,bottom
U2,83.34375,-129.38125,90.0,bottom
Y1,115.09375,-151.60625,180.0,bottom
